වචනය,"සමාන පදමාලාව"
"අක්ෂි ලපය ","1. (පාරිභා.) [නා.] කලලයක පිහිටන ඇසෙහි මූලික ස්වරූපය. <br>2. [නා.] ඇතැම් ජීවීන්ගේ හා ශාකවල තිබෙන ආලෝක සංවේදී වර්ණක තිත (=eye spot)."
"අක්ෂි විද්‍යාව ","[නා.] ඇස පිළිබඳ උගන්නා ශාස්ත්‍රය; දෘෂ්ටි විද්‍යාව."
"අක්ෂි විෂය ","[නා.ප්‍ර.] ඇසට හමු වන දෙය; නේත්‍රයට විෂය වූ වස්තුව; චක්ෂුපථය."
"අක්ෂීණ ","[වි.] නොගෙවුණු; ක්ෂීණ නොවූ; නොපිරිහුණු."
"අක්ෂෞහිණිය ","1. [නා.] එකේ ඉලක්කම සහ බින්දු 11 කින් නොහොත් 42කින් නොහොත් 43කින් සමන්විත සංඛ්‍යාව. <br>2. [නා.] අංග සම්පූර්ණ මහා යුද සේනාව; ඇතුන් 21,870ක්, අසුන් 65,510ක්, රිය 21,870ක් සහ පාබළ 109,350ක් සහිත මහා සිවුරඟ සේනාව."
"අක්සනය ","(පාරිභා.) [නා.] ස්නායු කෙළවරක පිහිටි අක්ෂයක් වැනි සිලින්ඩරාකාර ප්‍රසරය (=axon)."
"අඛණ්ඩ ","[වි.]  නොකැඩුණු; නොබිඳුණු; අවිච්ජින්න."
"අඛණ්ඩ ශීලය ","[නා.] සිල් පදයක් නොකැඩුණු, පිරිසිදු ලෙස රක්ෂා කළ ශීලය"
"අඛිල ","[වි.]  මුළු; සියලු; සමස්ත."
"අග ","1. [වි.] උතුම්; ශ්‍රේෂ්ඨ; උත්කෘෂ්ට; ප්‍රමුඛ; අග්‍ර. <br>2. [වි.] අවසාන; කෙළවර; පර්යන්ත. <br>3. [නා.ප්‍ර.] මුදුන; සිරස; මස්තකය; ශීර්ෂය. <br>4. [නා.ප්‍ර.] ගින්න; වහ්නිය; අනල. <br>5. [නා.ප්‍ර.] දුක; ගැහැට. <br>6. [නා.ප්‍ර.] සර්පයා. <br>7. [නා.ප්‍ර.] ගෙය; නිවස; කුටිය. <br>8. [නා.ප්‍ර.] මිල; වටිනාකම; තක්සේරුව. <br>9. [නා.ප්‍ර.] අහස; ගුවන. <br>10. [නා.ප්‍ර.] කන්ද, ගිර, පර්වතය. <br>11. [නා.ප්‍ර.] ගස; රුක; වෘක්ෂය. <br>12. [නා.ප්‍ර.] සූර්යයා. <br>13. [නා.ප්‍ර.] නිවන."
"අග උවටා ","[නා.] ප්‍රධාන උපස්ථායකයා; බුදුරජාණන් වහන්සේගේ අග්‍ර උපස්ථායකයා; අක් උවටා."
"අගඩි මගඩි ","(කථා.) [නා.ප්‍ර.] තක්කඩිකම; වංචනික වැඩ; ප්‍රයෝගය."
"අගණනීය, අගණය ","[වි.]  ගණන් ගත නොහැකි; ගිණිය නොහැකි."
"අගණිත ","[වි.]  ගණන් නැති; අනන්ත; අප්‍රමාණ."
"අගත ","1. [වි.] අධිගමය නොකළ; වටහා ගත නොහැකි. <br>2. [වි.] ආවා වූ; පැමිණි; ආගත. <br> [නා.] කුඹුරු යායක අග කොටස; අගාවත."
"අග තනතුර ","[නා.] සමූහයක් අතුරෙන් මුල්තැන; අග්‍රස්ථානය; ශ්‍රේෂ්ඨ ධුරය."
"අගත පූර්ව ","[වි.]  ප්‍රතිවේධ නොකළ; පෙර නොපැමිණි."
"අගතිත ","(පාරිභා.) [නා.] උතුම් වූ ත්‍රිත්වය; ත්‍රිමූර්තිය"
"අගතිය ","1. [නා.] යුක්තියට පිටු පා ක්‍රියා කිරීම; අයුක්තියෙහි ගමන් කිරීම. <br>2. [නා.] ප්‍රගතියට විරුද්ධ ස්ථානය; දුගතිය."
"අගද ","[නා.] ඉතා ගැඹුරු; පතුල දැකිය නොහැකි; අගාධ. 1. [නා.ප්‍ර.] බෙහෙත; ඖෂධය. <br>2. [නා.ප්‍ර.] මුදල්."
"අග දන ","[නා.] පළමු අස්වැන්නෙන් දෙන දානය; අග්‍ර දානය; අග්‍ර දක්ෂිණාව."
"අගදය ","[නා.] බෙහෙත; ඖෂධය."
"අග දල ","[නා.] ගිනිදලුව; ගිනිදැල්ල; අග්නිජාලාව."
"අග දෙවියා ","[නා.] දෙවියන් අතර ප්‍රධානයා; සක්දෙවිඳු."
"අග දේවිය ","[නා.] අග බිසව; අග මෙහෙසිය"
"අග දොර ","[නා.] පළමු දොර; ප්‍රධාන දොරටුව."
"අගද්‍යතාව ","(පාරිභා.) [නා.] බුද්ධි හීනතාව නිසා කථා කර ගත නොහැකි වීමේ ආබාධය (=adogia)."
"අගන, අගනා ","[වි.]  වටිනා; මහඟු; අනර්ඝ."
"අග නරනා ","[නා.] අගරජ; අගනිරිඳු; අග්‍රරාජයා."
"අග නුවර ","[නා.] රටක පාලන මූලස්ථානය පිහිටි නගරය; ප්‍රධාන නගරය."
"අග පලය ","[නා.] උත්තම ඵලය; අග්‍ර ඵලය; අර්හත් ඵලය."
"අග පුඟුල් ","[නා.ප්‍ර.] ගුණ නුවණින් උත්තම පුද්ගලයා; ශ්‍රේෂ්ඨ පුද්ගලයා; බුදුරජාණන් වහන්සේ."
"අග බත","[නා.] අස්වැන්නෙන් පළමු ව දේව ආදින් වෙත පූජා කරන බත; අග්‍ර දක්ෂිණාව."
"අග බමුණා ","[නා.] නායක බමුණා; අග්‍ර බ්‍රාහ්මණයා; පුරෝහිත බමුණා."
"අග බිම ","[නා.] ශ්‍රේෂ්ඨ භූමිය; අග්‍ර භූමිය; නිර්වාණය."
"අග බිසව, අග බිසොව ","[නා.] රජකුගේ අග මෙහෙසිය; අභිෂේක ලත් ප්‍රධාන දේවිය."
"අග මග, අග මඟ ","[නා.] ශ්‍රේෂ්ඨ මාර්ගය; රහත් මඟ; අර්හත් මාර්ගය."
"අගමඟ නුවණ ","[නා.] අර්හත් මාර්ග ඥානය."
"අගමල ","[නා.] සතුන් බැඳීමට අටවන මද්ද; මල පුඩුව; උගුල."
"අග මැණ ","[නා.] උතුම් මැණික; අග්‍ර මාණික්‍යය."
"අගමැති ","[නා.ප්‍ර.] අමාත්‍ය මණ්ඩලයේ ප්‍රධානියා; අග්‍රාමාත්‍යවරයා."
"අග මෙහෙසිය ","[නා.] අගබිසව."
"අගම් ","[වි.]  ග්‍රාම්‍ය නොවූ; ශිෂ්ට. <br>1. [නා.ප්‍ර.] ශිෂ්ට බව; අග්‍රාම්‍යතාව. <br>2. [නා.ප්‍ර.] (ශ්‍රද්ධා භක්තියෙන් ඇති කර ගත්) විශ්වාසය; ඇදහිලි ක්‍රමය; ආගම. <br>3. (ව්‍යාක.) [නා.ප්‍ර.] අකුරක් අමුතුවෙන් පැමිණීම; අක්ෂරාගමය. <br>4. [නා.ප්‍ර.] පාළු වූ ගම්; විනාශ වූ ගම්; ජනශුන්‍ය ග්‍රාම."
"අගම්පඩි ","1. [නා.ප්‍ර.] ලංකාවේ මධ්‍යකාලීන සමයෙහි වේතනයට හේවාකම් කළ විදේශික භට හමුදාව. <br>2. [නා.ප්‍ර.] මෙහෙකරුවන්ට වැටුප් වෙනුවට දෙන වී."
"අගම්මැටි ","(පාරිභා.) [නා.ප්‍ර.] ජලය, අයිස් හෝ සුළඟ කරණ කොට ගෙන එක් තැනකින් තවත් තැනකට ගෙන යෑමෙන් තැන්පත් වූ මැටි; ඇළ දොළ ආදියෙහි රාශිභූත වූ මැටි (= secondary clay)."
"අගම්‍ය ","[වි.]  නොඑළඹිය යුතු; සේවනය නොකළ යුතු."
"අගම්යෝගය ","(පාරිභා.) [නා.] එක ම වර්ගයේ විවිධ ශාකවල මල්වලින් අන්‍යෝන්‍ය ව ඇති වන පරාගණය; පරසංසේචනය (= xenogamy)."
"අගම්විදිය ","[නා.] (ව්‍යාක.) ආගම විධිය; පද සන්ධි කිරීමේ දී අමුතුවෙන් අකුරක් පැමිණවීම."
"අගම් සඳ ","(ව්‍යාක.) [නා.] පද දෙකක් මධ්‍යයෙහි ආගන්තුක අකුරක් පැමිණීමෙන් සෑදෙන සන්ධිය; ආගම් සන්ධිය."
"අගය, අගේ ","1. [නා.] වටිනාකම; මිල; තක්සේරුව. <br>2. [නා.] වැදගත්කම; සැලකිය යුතු බව. <br>3. [නා.] ආඩම්බරය; උජාරුව; අහංකාරය."
"අගය කරනවා ","1. [ක්‍රි.] මිල කරනවා; තක්සේරු කරනවා. <br>2. [ක්‍රි.] උසස් කර කියනවා; වර්ණනා කරනවා. <br>3. [ක්‍රි.] උසස් ලෙස සලකනවා; ගරු කරනවා."
"අගය තබනවා ","[ක්‍රි.] මිල නියම කරනවා; වටිනාකම දක්වනවා."
"අගයනවා ","[ක්‍රි.] වටිනාකම පෙන්වනවා; අගය මනිනවා; ගුණාත්මක තත්ත්වය විමසනවා."
"අගය පෙන්වනවා ","1. [ක්‍රි.] මිල කරනවා; තක්සේරු කරනවා. <br>2. [ක්‍රි.] උසස්කම කියා පානවා; පුරසාරම් කියනවා."
"අගය වඩනවා ","1. [ක්‍රි.] මිල වැඩි කරනවා; වටිනාකම වැඩි කොට කියනවා. <br>2. [ක්‍රි.] අහංකාරකම් පෙන්වනවා."
"අගය හෙළනවා ","[ක්‍රි.] මිල අඩු කරනවා; වටිනාකම පහත දමනවා."
"අග රජ, අග රද ","[නා.ප්‍ර.] අග්‍ර රාජයා; මහා රාජයා; අධිරාජයා."
"අග රජය ","[නා.] ප්‍රධාන රාජ්‍යය; අධිරාජ්‍යය."
"අගරපට, අගරපොට ","[නා.] ඇඳි රෙද්දෙහි හිණ පහළට එල්ලී වැටෙන රෙදි කොන; නරුපොට; නෙරිය."
"අග රස ","[නා.ප්‍ර.] අග්‍ර රසය; ප්‍රණීත සූප ව්‍යඤ්ජන ආදිය."
"අගරු ","[වි.]  ගරු නොවූ; ගරු බුහුමන් රහිත."
"අගරුක ","[වි.]  බර නොවූ; බැරෑරුම් නොවන. <br> [නා.ප්‍ර.] බර නොවූව; බලවත් නොවන කුශලාකුශල කර්ම."
"අගරුකය ","[නා.] බර නොවූව; බලවත් නොවන කුශලාකුශල කර්ම"
"අගරු කරනවා ","1. [ක්‍රි.] ගරු සැලකිලි නොදක්වනවා. <br>2. [ක්‍රි.] පිළිගත නොහැකි චෙක්පතක් ප්‍රතික්ෂේප කරනවා."
"අගරු පස්ත ","[වි.]  ප්‍රධාන උපස්ථායක වූ; අග්‍ර උපස්ථායක වූ."
"අගරුව ","[නා.] ගරු බුහුමන් නැතිකම; අගෞරවය; අවමානය."
"අග රුවන ","[නා.] උතුම් මැණික; අග්‍ර මාණික්‍යය; සිළුමිණ."
"අගරොන් ","[නා.ප්‍ර.] විසිරී යන කුඩා ගිනි පුපුරු; ගිනි පුලිඟු."
"අගර්භ සෙය්‍යකයා ","[නා.] මවු ගැබක නූපදින්නා; මවු කුස පිළිසිඳ නොගන්නා තැනැත්තා."
"අගර්වය ","[නා.] උඩඟු නොවන බව; නිරහංකාර බව; නිහතමානි බව."
"අගල, අගළ ","1. [නා.] කඳු බෑවුම් ප්‍රදේශවල වැහි වතුර බැස යාමෙන් හෑරුණු ඇළ; ඉඩමක මායිම දැක්වීම හෝ සෝදාපාළුව වැළැක්වීම සඳහා හාරනු ලබන කානු. <br>2. [නා.] පුරාණ නගර වටා ආරක්ෂාව සඳහා ඉතා ගැඹුරට හා පළලට කණින ලද පරිඛාව."
"අග වර ","[නා.] ගින්නෙහි ලා තැවීම; ගිනියම් කිරීම; ගිනි කැවීම."
"අග වරුව ","1. [නා.] වී හුළං කිරීමේ දී හොඳ වී රාශිය අගට තැන්පත් වන බොල් වී කොටස; අක්වරුව. <br>2. [නා.] දවසේ අග භාගය; සවස් වරුව."
"අගවිට ","[නා.] ආලින්දය; අක්දෙරිය."
"අගසවු ","[නා.ප්‍ර.] අග්‍රශ්‍රාවක."
"අග සස්, අග හස් ","[නා.ප්‍ර.] ගොවිතැනින් ලබන පළමු අස්වැන්න; අග්‍ර සස්‍යය."
"අගසස් දන් ","[නා.ප්‍ර.] පළමු අස්වැන්නෙන් දෙන දානය; ඉඳුල් නොකර දෙන ප්‍රථම දානය."
"අගහර ","1. [නා.] රජුන් විසින් පුදන ලද ගම්වරය; ප්‍රවේණි කර දුන් කෙත්-වත් ආදිය. <br>2. [නා.] අනගි මුතුපට; අගනා මුතු මාලය."
"අගහරුව ","[නා.] අවමානය; අපහාසය; අගෞරවය."
"අගහිග, අගහිඟ ","[වි.]  අඩුපාඩු ඇති; නැති බැරිකමින් යුත්; දුප්පත්. <br> [නා.ප්‍ර.] නැතිබැරිකම; දුප්පත්කම."
"අගහිඟය ","[නා.] නැතිබැරිකම; දුප්පත්කම."
"අගාතය ","[නා.] තද කෝපය; අඝාතය."
"අගාධ ","[වි.]  ඉතා ගැඹුරු; පතුල නොපෙනෙන. <br> [නා.ප්‍ර.] ඉතා ගැඹුරු ස්ථානය; පත්ල නොපෙනෙන තරම් ගැඹුරු වළ."
"අගාධ ගොහොරුව ","(පාරිභා.) [නා.] මුහුදු පත්ලෙහි ඉතා ගැඹුරු ප්‍රදේශයක් වසා පැතිර පවත්නා ගොහොරු ද්‍රව්‍ය තැන්පතුව; ආගාධ නිධිය(=abyss deposit)."
"අගාධ ගෝලය ","(පාරිභා.) [නා.] අන්තර් ගෝලය (= bathysphere)."
"අගාධ තැන්න ","(පාරිභා.) [නා.] ගැඹුරු මුහුදුතැන්න; සාගර පත්ලෙන් තුනෙන් දෙකක් පමණ වසා සිටින ගැඹුරු ප්‍රදේශය (= deep sea plain)."
"අගාධ පාෂාණ ","(පාරිභා.) [නා.බහු.] පෘථිවි කබලෙහි ඉතා ගැඹුරෙහි ඝනීභූත ව පවත්නා ආග්නේය පාෂාණ (=abyssal rocks)."
"අගාධ ප්‍රපාතය","[නා.] ඉතා ගැඹුරු පල්ලම; පතුල නොපෙනෙන බෑවුම; පර්වත ප්‍රාන්තය."
"අගාධ භීතිකාව ","(පාරිභා.) [නා.] ගැඹුරක් දැකීමෙන් ඇති වන බිය (=bathophobia)."
"අගාධ මනෝවිද්‍යාව ","(පාරිභා.) [නා.] අවිඥානක මානසික ක්‍රියාවලි විස්තර කරන මනෝවිද්‍යාව (= depth psychology)."
"අගාධ මානය ","(පාරිභා.) [නා.] ජලයෙහි ගැඹුර මැනීම සඳහා භාවිත කරන උපකරණය (=bathymeter)."
"අගාධය ","1. (පාරිභා.) [නා.] ඉතා ගැඹුරු ආවාටය. <br>2. [නා.] සාගරයේ ගැඹුරු ම කොටස."
"අගානිගාව ","1. [නා.] අපහාසය; අවමානය; නිගාව. <br>2. [නා.] අගහිඟය; නැතිබැරිකම."
"අගාරක ","[වි.]  ගිහි වූ; පැවිදි නොවූ; ගෘහස්ථ."
"අගාර කුඹුර ","[නා.] ඇළ දොළ ආදියෙන් වතුර නොලැබෙන කුඹුර; ඕබඩ නොපිහිටි කුඹුර; දෙණි කුඹුර."
"අගාරය ","1. [නා.] ගෙය; කුටිය; ගෘහය. <br>2. [නා.] ගිහිගෙය. <br>3. [නා.] උස්බිම් දෙකක් අතර පිහිටි කුඹුර හෝ දෙණිය. <br>4. [නා.] ජලය රඳා සිටින පහත් බිම. <br>5. [නා.] වතුර බැස යන ඇළ; පිට ඇළ."
"අගාර විනය ","[නා.] ගිහියන්ගේ හික්මීම සඳහා බුදුරදුන් දේශනා කළ දහම; ගිහි විනය."
"අගාරික ","[වි.]  ගිහි; ගෘහස්ථ; ගෘහවාසී. <br> [නා.ප්‍ර.] ගිහියා; පැවිදි නොවූ පුද්ගලයා; ගෘහපතියා."
"අගාරිකයා ","[වි.]  ගිහි ජීවිතය හා සම්බන්ධ; ගිහියන්ට අයත්; ගිහිගෙයි වසන."
"අගාරිය ","[වි.]  ගිහි ජීවිතය හා සම්බන්ධ; ගිහියන්ට අයත්; ගිහිගෙයි වසන."
"අගාරෙ අරිනවා ","[ක්‍රි.] ඉවත ගලා යන්ට අරිනවා; අහක අරිනවා; අපතේ හරිනවා."
"අගාලුව ","(පාරිභා.) [නා.] දොරුවක හැඩය ඇති වන සේ පස් කපා ඉවත් කිරීමේ දී දෙපැත්තෙහි ඉතිරි වන පස් කණ්ඩිය (=balk)."
"අගිනවා, අගනවා ","[ක්‍රි.] මිල වෙනවා; වටිනාකම දරනවා."
"අගියාව ","(කථා.) [නා.] අදි-මදි කිරීම; ඇළි-මැළි කිරීම; පසුබට වීම; පැකිළීම."
"අගිරි ගානවා ","(කථා.) [ක්‍රි.] වේදනාවෙන්, ශෝකයෙන් කෙඳිරි ගානවා; බැගෑ හඬ නගනවා."
"අගිස්ස, අග්ගිස්ස, අග්ගිහ ","[නා.] අග කොන; මුදුන් හෝ අග කෙළවර."
"අගිස්සනවා ","(කථා.) [ක්‍රි.] යමකුගේ බසෙහි සැබෑ-බොරුබව අන්‍යයකුගෙන් විමසා බලනවා; ඇත්ත නැත්ත විමසනවා; හගිස්සනවා."
"අගු කවනවා ","(කථා.) [ක්‍රි.] පිඳුරු, බටකොළ ආදිය සෙවිලි කළ වහලක දිරා ගිය කොටස් ඉවත් කොට අලුතින් ඒ තැන් හෙවිලි කරනවා."
"අගු කොන ","[නා.] අගු කෙළවර; පිළිකන්න."
"අගුණ ","[වි.]  ගුණ නැති; අහිත. <br> [නා.ප්‍ර.] දොස; වරද; නුගුණය."
"අගු පත ","1. [නා.] ගෙයි පිටිපස; අගුව; පිළිකන්න. <br>2. [නා.] කුඹුරකින් පිටට නෙරා ගිය ලියදි කැබැල්ල."
"අගු පීල්ල ","[නා.] වහළ කෙළවරින් වැටෙන වැහි ජලය බැස යෑම සඳහා සවි කර ඇති පිහිල්ල."
"අගු බලනවා ","[ක්‍රි.] රජුට පිළියෙල කරන ලද භෝජන ඉඳුල් කොට පරීක්ෂා කර බලනවා."
"අගුරු ","[වි.]  බර නොවූ; බරපතල නොවූ; සැහැල්ලු."
"අගුල් කණුව, අගුළු කණුව ","[නා.] අගුළ සවි වන කණුව; අගුළ දමන කණුව; අගුළ වැටීමට උළුවස්සේ සවි කළ කණුව."
"අගුල් තට්ටුව, අගුළු තට්ටුව ","1. [නා.] ලීවලින් කළ යතුරු කූඩුව; දෙපියන් දොරක සවි කළ කුට්ටම් අගුළ. <br>2. [නා.] හංවඩු සටහනක්; විහාර ගම්වල ගවයන් ගේ පිටෙහි හංවඩු ගසන අඩයාළම."
"අගුල්පත් ","[නා.ප්‍ර.] බණ දෙසුමක් හෝ වෙනත් දෙසුමක් කරන විට දෙන ප්‍රතිවචනය; පිළිවදන."
"අගුව ","1. [නා.] ගෙයක පියසි අගින් වැසෙන බිම් කොටස. <br>2. [නා.] ගෙට යාබද බිම; ගෙමිදුල. <br>3. [නා.] අන්තය."
"අගු වඩනවා ","[ක්‍රි.] අගය වැඩි කොට දක්වනවා."
"අගුළ ","[නා.] දොර වසා, ඇරීමට නොහැකි වන සේ ඇතුළතින් යොදන හරස් ලීය; දොර වසා අවුළුවන ලී කැබැල්ල; ලීයෙන් හෝ ලෝහයෙන් හෝ තනා දොරේ සවි කළ ඇරෙන වැහෙන දිවත."
"අගුළු ඉද්ද ","[නා.] දොරක අගුළක් සේ අරින වහන පොල්ල; අගුළු පෙත්ත මැද විද දමන කූර; ඉදි අගුළ."
"අගෘහීත ","[වි.]  නොගත්; නොගන්නා ලද."
"අගොස ","(ව්‍යාක.) [නා.] අඝෝෂාක්ෂරය; සිංහල හෝඩියේ එක් එක් වර්ගයේ පළමුවන, දෙවන අකුරු හා ශ,ෂ,ස, (අ) යන අකුරු."
"අගෝචර ","1. [වි.] නුසුදුසු වු; නොගැළපෙන. <br>2. [වි.] විෂය නොවූ; ප්‍රත්‍යක්ෂ නොවූ. <br>3. [නා.ප්‍ර.] නුසුදුසු දෙය; නොගැළපෙන්න. <br>4. [නා.ප්‍ර.] විෂය නොවන දෙය; ප්‍රත්‍යක්ෂ නොවූව. <br>5. [නා.ප්‍ර.] නුසුදුසු තැන; අගෝචර ස්ථානය."
"අගෝර ","(කථා.) [වි.] නුසුදුසු; නොනිසි; අනියම්."
"අගෝස, අඝෝෂ ","[වි.]  ඝෝෂා රහිත; නින්නාදවත් නොවන."
"අගෝස්තු ","[නා.ප්‍ර.] ඉංග්‍රීසි මාස ක්‍රමය අනුව අට වන මාසය"
"අගෞරවය ","[නා.] ගරු නොකිරීම; බුහුමන් නොකිරීම; නිගරුව."
"අග්ග ","1. [වි.] උතුම්; ශ්‍රේෂ්ඨ. <br>2. [වි.] කෙළවර වූ; අවසාන වූ."
"අග්ග බීජය ","[නා.] පැළවෙන අතු අග්ගිස්ස; කරටිය ම බීජය වූව."
"අග්ගලා, අග්ගළා ","[නා.ප්‍ර.] බැදපු සහල් ආදී ධාන්‍යපිටි පැණියෙන් අනා ගුළි කර සාදා ගැනෙන කැවිලි විශේෂයක්."
"අග්ගස්ස ","[නා.] අගසස්."
"අග්ගස්ස දානය ","[නා.] අගසස් දන්."
"අග්ගහ කැළේ ","(කථා.) [නා.] මහා කැළය; මූකළාන; මහා වනය."
"අග්ගික ","[වි.]  ගිනි දෙවියා පුදන."
"අග්ගි ජාල ","[නා.ප්‍ර.] ගිනිදැල්ල; ගිනිදලුව."
"අග්ගි ජාල ","[නා.ප්‍ර.] ගිනිදැල්ල; ගිනිදලුව."
"අග්ගි දාහය, අග්නිදාහය ","[නා.] ගින්නෙන් දැවී යාම; පිළිස්සී යෑම."
"අග්ගින්න ","1. [නා.] අහරින් හිස් වූ ආමාශයෙහි ඇති වන දාහය; බඩගින්න. <br>2. [නා.] අර්ශස් ගඩු හටගැනීමෙන් ඇති වන රෝගය; අර්ශස් රෝගය; අග්නිමූලය."
"අග්ගිපරිචරණය ","[නා.] ගිනි දෙවියන් උදෙසා පූජා පැවැත්වීම."
"අග්ගිය ","[නා.] ගින්න; වහ්නිය."
"අග්ගිරය, අග්ගිරේ ","(කථා.) [නා.] කෙළවර; අවසානය; අන්තය."
"අග්ගිස්ස, අග්ගිහා ","[නා.] අගකොන; අන්තිම කොටස; තුඩ; කෙළවර."
"අග්ගි හෝමය, අග්නි හෝමය ","[නා.] ගිනි පූජාව; ගිනි දැල්වීමෙන් ගිනි දෙවියාට කරන යාගය."
"අග්ගොන ","(කථා.) [නා.] කුඩා ළැහැබ; අකුල; කුඩා වනරොද."
"අග්ඝාපනික ","[නා.ප්‍ර.] භාණ්ඩවල මිල නියම කරන්නා; තක්සේරුකරු."
"අග්ඝිකාව ","1. [නා.] පහන් ගස. <br>2. [නා.] මලින් හෝ පහනින් කළ සැරැසිල්ල. <br>3. [නා.] දාගැබ්වල සතර දිශාභිමුඛ ව තැනූ තොරණ; වාහල්කඩ."
"අග් දලුව ","[නා.] අග ඇති ඉතා ළපටි කොළය; මුදුන් දලුව."
"අග්නි ","[නා.ප්‍ර.] අග්නිය බ."
"අග්නි කණිකා ","[නා.ප්‍ර.] ගින්නෙන් ඈතට විසිරී යන ගිනි පුපුරු; ගිනි පුලිඟු."
"අග්නි කපාලය ","[නා.] ගිනි අඟුරු දැමූ කබල; ගිනිකබල."
"අග්නිකර ","[වි.]  කුසගින්න ඇති කරන; බඩගිනි වඩන."
"අග්නි කර්මය ","[නා.] ගින්නෙන් දැවීමෙන් කරන ප්‍රතිකාර විධිය; සිරුරෙහි යම් යම් තැන් පිළිස්සීමෙන් සිදු කරන පිළියම."
"අග්නි කාය ","[නා.ප්‍ර.] ලෝකයේ පවත්නා නිත්‍ය පදාර්ථ සතෙන් එකක්."
"අග්නි කාෂ්ඨය ","[නා.] ගිනිගත් දර ලීය; ගිනිපෙනෙල්ල."
"අග්නි කුණ්ඩය ","[නා.] ගිනි දල්වන කබල; අඟුරු කබල."
"අග්නි කෝණය ","[නා.] දකුණටත් නැගෙනහිරටත් අතර අනු දිශාව; ගිනිකොන."
"අග්නි ක්‍රීඩාව ","[නා.] ක්‍රීඩාවක් වශයෙන් මල්වෙඩි සාදා පත්තු කිරීම."
"අග්නි ගණය ","[නා.] ඡන්දස් ශාස්ත්‍රයෙහි එන අට ගණයෙන් එකක්; ‘ර’ ගණය."
"අග්නි ගර්භ ","[නා.ප්‍ර.] සූර්ය තාපය ගැබ් ව ඇතැයි සැලකෙන පාෂාණ විශේෂය; පළිඟු."
"අග්නිජ ","[වි.]  ගින්නෙන් හටගත්; ගින්නෙන් උපන්."
"අග්නි ජාලය, අග්නි ජාලාව ","[නා.] ගිනිදැල්ල; දැල්වෙන ගින්න."
"අග්නි තාපය ","[නා.] ගින්නෙන් රත් කිරීම."
"අග්නි දග්ධ ","[වි.]  ගින්නෙන් දැවුණු. 1. [නා.ප්‍ර.] ගින්නෙන් දැවීමෙන් සිදු වූ තුවාලය. <br>2. [නා.ප්‍ර.] ප්‍රතිකාර ක්‍රමයක් වශයෙන් ගින්නෙන් පිලිස්සීම; අග්නි කර්මය."
"අග්නි දිග ","ගිනිකොණ: අග්නි කෝණය බ."
"අග්නි දීපක ","[වි.]  බඩගිනි වඩන; ආමාශයෙහි ගින්න වඩන; ආහාර පැසවීමේ ශක්තිය වැඩි කරන."
"අග්නි දීපනය ","[නා.] ආහාර පැසවීමේ ශක්තිය වැඩි වීම; ජඨරාග්නිය දියුණු වීම."
"අග්නි දේවතාවා ","1. [නා.] ගින්නට අධිපති දෙවියා; ගිනි දෙවියා. <br>2. [නා.] හිරු ග්‍රහයාට ස්වාමි වූ දෙවියා."
"අග්නිද්‍රව්‍ය ","(පාරිභා.) [නා.] ලෝහයකින් අළු ලබා ගැනීමත් අළුවලින් ලෝහය ලබා ගැනීමත් යන කරුණු දෙකට පොදු වූ දෙය."
"අග්නි ධරය ","1. [නා.] වාතයට හසු වීමත් සමඟ ම ගිනි ගැනීමේ ස්වභාව ඇති දෙය; ගිනි ගන්නා සුලු දෙය. <br>2. [නා.] ගිනිකන්ද."
"අග්නිධරා ","[නා.] සිරුරෙහි ගින්න දරා සිටින සියුම් සිවිය; පිත්තධරා කලාව."
"අග්නි ධර්ම ","[වි.]  ගින්නට බඳු ස්වභාව ඇති; ගිනි වැනි."
"අග්නි ධාතුව ","1. [නා.] ගිනි පිළිබඳ මූල ධාතුව; තේජෝධාතුව. <br>2. [නා.] සිරුරෙහි ගින්න වඩන මූල ද්‍රව්‍යය; පිත්තය."
"අග්නි පාෂාණය ","[නා.] එකිනෙක ගැටීමෙන් ගිනි හටගන්නා ගල්වර්ගය; ගිනිගල."
"අග්නි පුටය ","[නා.] ඖෂධ ශුද්ධ කිරීම හෝ විෂ නැති කිරීම සඳහා භාවිත කෙරෙන රසායනික පාක ක්‍රමයක්."
"අග්නි පුත්‍ර ","[නා.ප්‍ර.] ධූමකේතු හෙවත් වල්ගාතරු විශේෂයක්."
"අග්නි පූජාව ","1. [නා.] ගිනි දෙවියන් පිදීම; ගිනි පිදීම. <br>2. [නා.] ගින්නෙහි දමා පිලිස්සීම; ගිනිබත් කිරීම."
"අග්නි බලය ","[නා.] ආහාර දිරවීමේ ශක්තිය; බඩගිනි උපදවන බලය."
"අග්නිභ ","[නා.ප්‍ර.] ගිනි පැහැගත් ලෝහය; රත්රන්; ස්වර්ණ"
"අග්නි භය ","[නා.ප්‍ර.] ගින්දරෙන් හටගන්නා බිය; පංච මහා භය අතුරෙන් එකක් වන ගිනි බිය."
"අග්නි භූ ධරය ","[නා.] මුදුනේ විවරයකින් උණු අළු ලෝදිය ආදිය නිකුත් වන පර්වතය; අභ්‍යන්තරයේ තැන්පත් ව ඇති ලෝදිය කවර විටක හෝ විවරයකින් නිකුත් වීමට ඉඩ ඇති පර්වතය; ගිනිකන්ද."
