"පාලි වචනය","සිංහල පරිවර්තනය"
අදදි,"අ.ක්‍රි දුන්නේය."
අදන,"(න) අනුභවය ආහාරය."
අදන,"(න) කෑම."
අදන්ත,"(ති) අදමිත, දමනය නොකළ, නොදැමුනු."
"අදන්ත ","(3) කන; කමින්; නො හික්මුණු."
අදසක,"(න) (අ+දසක) දාවලු රහිත වස්ත්‍රය."
අදස්සන,"(න) අදර්‍ශනය, නොදැක්ම, විනාශය, ලෝපය."
අදස්සන,"(න) නො දැක්ම."
අදා,"(ක්‍රි) දානය කෙළේය, දුන්නේය - “දානං අදා ධාරයි නිච්චසීලං”"
අදා,"අ.ක්‍රි දුන්නේය."
අදාන,"(න) නොදීම, පරිත්‍යාග නොකිරීම."
අදාස,"(පු) දාසකමින් මිදුනු තැනැත්තා, නිදහස් වූ තැනැත්තේ, ස්වච්ඡාචාරියා."
අදි,"(භු) බන්ධනෙ, බැඳීමෙහි අන්දති, බඳියි."
අදිට්ඨ,"(ති) නොදක්නාලද, නුදුටු."
"අදිට්ඨ ","(3) නො දුටු."
අදිට්ඨජොතනා,"(ඉ) නොදක්නා ලද්දහුගේ ප්‍රකාශය, පිළිවිසීම් වෙසෙසක්."
අදිට්ඨසහාය(ක),"(පු) ‍නුදුටු යහළුවා, සන්දේශ ආදිය ගණුදෙනු කර ගැනීමෙන් මිත්‍ර - (ව) සිටින්නා."
අදිති,"(ඉ) දේවමාතාව."
අදිති,"(ඉ) සුරමව, දෙවමාතාව."
අදිතිනන්දන,"(පු) සුරමවගේ පුතා, දෙවියා."
"අදිත්ත ","(3) අවිල ගත්."
අදින්ත,"(ති) දානය නොකළ, නුදුන්, පරිත්‍යාග නොකළ."
"අදින්න ","(3) නො දුන්."
අදින්නපුබ්බ,"(ති) නුදුන්විරූ, පෙර නොදෙන ලද, දානය නොකළ."
අදින්නාදාන,"(න) (අ=න+දින්න+ආ+දාන) නුදුන්දෙය ගැනීම."
අදින්නාදාන,"(න) නො දුන්දෙය ගැනීම; සොරකම."
අදින්නාදායී,"(පු) හිමියන් විසින් නුදුන්දෙය ගන්නා තැනැත්තා."
අදීන,"(ති) (අ=න+දීන) ජඩ නොවන, බැගෑ නොවන, දිළිඳු නොවන, කෙලතොලු නොවන."
අදු,"(අ) නොහොත්, නැතහොත්."
"අදු ","(3) අසවල්."
අදුක්ඛ,"(ති) දුක් නොවන, නිදුක්."
අදුක්ඛමසුඛ,"(ති) (අ=න+දුක්ඛ + - (අ) + සුඛ) දුක්සැප නොවන, සැපත් නොවූ දුකත් නොවූ, උපේක්ෂාවේදනාව."
අදුට්ඨුල්ල,"(ති) ද්වෙආපත්තික්ඛාන්ධා දුට්ඨුල්ලා, අවසෙසා අදුට්ඨුල්ලා, ථුල්ලච්චය, පාචිත්තිය, පාටිදෙසනීය, දුක්කට, දුබ්භාසිත යන ඇවැත් පස අදුට්ඨුල්ල නමි."
අදුතිය,"(ති) තමාට දෙවැනියෙක් නැති, දෙවැනි නොවන තෘෂ්ණා රහිත “දුතිය” බලනු."
අදුභය,"(ති) මිත්‍රද්‍රොහි නොවූ, පොරොන්දු කඩ නොකරන."
අදූබ්හ,"(ති) අහිංසක, පීඩා නොකරන ද්‍රොහ නොකරන."
අදූර,"(ති) දුරනොවන, සමීප, ළඟ."
අදූසක,"(ති) නොකෙලෙසන නිරපරාධ."
"අදූසක ","(3) දූෂණය නො කරන."
අදූසිය,"(ති) දූෂණය නොකටයුතු නිදොස් නිරපරාධ."
"අදූහක ","(3) මිත්‍රද්‍රෝහී නොවූ."
අදූහල,"(න) සතුන් ඇල්ලීමට යොදන උගුලක්."
අදෙය්‍ය,"(ති) (අ=න+දා+ණ්‍ය) නොදියයුතු, දෙන්නට නොවටින."
අදොස,"(පු) ද්වෙෂ නො කිරීම; මෛත්‍රිය."
අද්ද,"(චු) හිංසායං, හිංසාවෙහි අද්දෙති, අද්දයති, හිංසා කරයි පෙළයි."
අද්ද,"(ති) ආර්ද්‍ර, තෙත (න) ඉඟුරු."
අද්ද,"(භු) ගමනයාචනෙ, ගමනෙහි, ඉල්ලීමෙහි අද්දති, යෙයි ඉල්ලයි."
"අද්ද ","(3) අමු; නො වේළුණු."
අද්දක,"(න) අමු ඉඟුරු."
අද්දක,"(න) ආර්ද්‍රක, අමුඉඟුරු."
අද්දක්ඛි,"(ක්‍රි) (දිස - (d) (භු) පෙක්ඛණෙ-බැලී-මෙහි+ ඊ දිසධාතුවට ‘දක්ඛ ආදේශ යි ආදියෙහි අකාරය ආගම යි.) දුටුයේ ය) බැලුයේ ය)"
අද්දක්ඛි,දුටුවේය.
අද්දබ්බවුත්තී,"(පු) ද්‍රව්‍යයෙහි නොපවත්නේ අද්‍රව්‍ය වෘත්ති නමි ආඛ්‍යාත භාවයයි."
අද්දස,ඉක්බිති.
අද්දස(සා),"(ක්‍රි) දුටුයේ ය) දැක්කේ ය)"
අද්දසා,ඉක්බිති.
අද්දා,"(ඉ) අදනැකත."
අද්දායති,"(ක්‍රි) (අද්ද - (d) (චු) තෙමනෙ, තෙත් කිරීමෙහි + ණය + ති) තෙමයි, තෙක් කෙරෙයි."
අද්දාරිට්ඨක,"(න) පෙනෙල මල්, කළුපැහැය."
අද්දාවලෙපන,"(න) (අද්ද+අව+ලෙපන)තෙත් දෙයින් ආලේප කිරීම, ‍දියසෙවෙල් ආදිය කෑම (ති) එය ඇති “අද්දාවලෙපනා උපඛාරියො පක්ඛන්දින්ති”"
අද්දි,"(පු) පර්‍වතය, පව්ව."
අද්දි,"(පු) පර්වතය."
අද්දිත,"(පු) අර්දිතයා, පීඩිතයා (ති) මඩනාලද."
"අද්දිත ","(3) පෙළුණු; වැඩුණු."
අද්දුභක,"(ති) ද්‍රොහ නොකරන."
අද්ධ,"(පු) අඩ; භාගය."
අද්ධ,"(පු) අර්‍ධය, අසමභාගය, මාර්ගය, කාලය, අඩාළ, - (න) සමභාගය."
අද්ධග,"(පු) මගියා, පථිකයා."
අද්ධගත,"(ති) කල් ගිය, වයස් ගිය, පරණ වූ."
අද්ධගු,"(පු) මගියා, පථිකයා."
අද්ධගූ,"(පු) මඟියා."
අද්ධචන්ද,"අර්‍ධචන්ද්‍රයා, අඩසඳ, අටවක් දින සඳ."
අද්ධචන්දා,"(ඉ) කලුතිරැස්සවාලු."
අද්ධදණ්ඩ,"(පු) අර්‍ධදණ්ඩ, සතර රියන් දිග දණ්ඩක් දෙකට පලාගත් දඬුකඩ."
අද්ධනිය,"(ති) මාර්‍ගයෙහි වූ, මග නියුතු, මාර්‍ගයෙහි යෙදුනු, කලක් පවත්නා."
"අද්ධනිය ","(3) ගමනට සුදුසු; දීර්ඝ කාලයක් පවත්නා."
අද්ධමණ්ඩල,"(න) කුඩාමැඩිලි, සිවුරේ කුඩා අතුකැබලි."
අද්ධමත්ත,"(පු) අර්‍ධමාත්‍රය, අඩමත, ව්‍යඤ්ජනා ක්ෂරය."
අද්ධමාස,"(පු) අඩමස; දෙසතිය."
අද්ධමාසික,"(ති) අඩමසකට (හෝ අඩමස්සකට) සුදුසු."
"අද්ධමාසික ","(3) අඩමසක් පාසා පවත්වන."
අද්ධයොග,"(පු) ඒ ඒ ඡන්දසුන්ගේ ප්‍රස්තාර ගමන මාර්ගය."
අද්ධයොජන,"(න) අඩයොදුන, යොදුන්බාගය “යොජන” බලනු."
අද්ධසමවුත්ත,"(න) සතර පාදයන්ගෙන් පාද දෙකක් සමව සිටින ලෙස බදින වෘත්තය, අර්‍ධසමවෘත්තය."
අද්ධා,"(අ) එකාන්තයෙහි, නිශ්චිතාර්ථයෙහි."
අද්ධා,"(නි) ඒකාන්තයෙන්."
අද්ධා,"(පු) කාලය; මාර්ගය."
අද්ධාන,"(න) දීර්ඝ මාර්ගය."
අද්ධාන,"(න) මාර්ගය, පාර, දීර්‍ඝමාර්ගය, කාලය."
අද්ධානදරථ,"(පු) මාර්ගක්ලාන්තභාවය, ගමන් වෙහෙස, ගමන්විඩාව."
අද්ධානපරිස්සම,"(පු) ගමන් වෙහෙස, අද්ධාන දරථය."
අද්ධානමග්ග,"(පු) දීර්‍ඝමාර්ගය"
අද්ධාර,"(න) දොරනැති සෙනසුන."
අද්ධි,"(ඉ) විනිවිද ගිය හැකි වීථිය."
අද්ධික,"(පු) මඟියා."
අද්ධික,"(පු) මාර්ගිකයා, මගියා."
අද්ධුව,"(ති) අස්ථිර, ශාශ්වත නොවන, තිරනැති."
"අද්ධුව ","(3) අස්ථිර; නිත්‍ය නොවූ."
අද්ධෙන්ද්‍රපාසාණ,"(පු) (අද්ධ + ඉන්ද්‍ර + පාසාණ) අර්‍ධචන්ද්‍රාකාරපාෂාණය සඳකඩපහණ."
අද්වය,"(ති) දෙපරිද්දකින් නොවන, එකක් ම වන, සත්‍ය"
අද්වයවාදී,"(පු) දෙපරිද්දකින් පවත්නා කථා නොකියන තැනැත්තා, සත්‍යකථා ඇත්තා, තථාගතයන් වහන්සේ."
"අද්වෙජ්ඣ ","(3) දෙයාකාරයක් නැති."
අද්වෙජ්ඣමනස,"(පු) (අ+ද්වෙජ්ඣ + මනස) දෙපරිද්දකින් නොවන සිත් ඇත්තා."
අද්වෙජ්ඣවචන,"(පු) එකාකාරයකින් පවත්නා වචන ඇත්තා, සත්‍ය වචන ඇත්තා."
අද්වෙළ්හකවචන,"(පු) සැකරහිත වචන ඇත්තා, සත්‍යවාදියා."
අධම,"(ති) නින්දිත නීච පහත් අසම්පූර්‍ණ."
"අධම ","(3) නීච; පහත්."
අධමණ්ණ,"(පු) ණය ගත් අය, ණය ගැතිය."
අධමණ්ණ,"(පු) ණයගත් අ‍ය."
අධමිණ,"(පු) අනුන්ට ණයගැති වන්නා."
අධම්ම,"(පු) - (න) අධර්මය, පාපය, ධර්‍මනොවන පදාර්ථය."
අධම්ම,"(පු) අධර්ම; දුශ්චරිතය."
අධම්මකම්ම,"(න) අධර්‍මකර්මය, ධර්මයට විරුද්ධ කර්මය."
අධම්මචරියා,"(ඉ) අධර්‍මයෙහි හැසිරීම, ධර්මයට විරුද්ධ හැසිරීම."
අධම්මරාග,"(පු) අධර්‍මරාගය, අයුතුරාගය, අන්සතුදෙයෙහි ආලය ඉපදවීම."
අධම්මවාදි,"(ති) අධර්‍මවාදි, අධර්මය කියනසුලු."
අධම්මික,"(ති) අධාර්මික අන්දමින් යුත්."
අධර,"(ති) යට, නීච, පහත්."
අධර,"(පු) දන්තාවරණය, ඕෂ්ඨය, තොල."
"අධර ","(3) පහත්; යට; (පු) තොල."
"අධාගත ","(3) යටට පැමිණි."
අධි,"(අ) අධික, ප්‍රධාන, අධ්‍යයන, අධිෂ්ඨාන, ප්‍රාප්ති, නිශ්චය, උපරිභාව, අභිභවන, යන අර්ථයන්හි."
අධික,"(ති) වැඩි, ඉතා, බොහෝ."
"අධික ","(3) ඉතා; උසස්; වැඩි."
අධිකත,"(පු) අධිකාරම, සතිස්වැදෑරුම් කර්‍මයෙහි නියුක්තයා, - (ති) අධිකාර කරනලද, සම්බන්ධ කරනලද."
"අධිකත ","(3) භාරව සිටින."
අධිකතර,"(ති) ඉතා වැඩි, ඉතා බොහෝ."
"අධිකතර ","(3) ඉතා අධික වූ."
අධිකතාපරවචන,"(පු) ප්‍රස්තුත සම්මුඛයා හැර අනිකෙකු කීම සම්බන්ධ වචන."
අධිකත්ථවචන,"(න) නින්දා ප්‍රශංසා පිණිස වැඩිය ආරොපනය කරනලද වචන."
අධිකරණ,"(න) ආධාරය හේතුව, විනිශ්චය, නඩුව, විවාදාධිකරණ, අනුවාදාධිකරණ, ආපත්තාධිකරණ, කිච්චාධිකරණ යන සතර “යං අධිකිච්ච සමථා වත්තන්ති තං අධිකරණන්ති වෙදිතබ්බං."
අධිකරණ,"(න) නඩුව."
අධිකරණං,"(ක්‍රි.වි) හේතුකොට ගෙන."
අධිකරණකාරක,"(ති) නඩුකියන, - (න) සත්වන ආධාරකාරකය."
අධිකරණකාරක,"(පු) නඩු කියන්නා; පැමිණිලි කාරයා."
අධිකරණය,"(න) විවාදය; හේතුව."
අධිකරණසමථ,"(පු) අධිකරණ(=නඩු) සන්සිඳවීම ‘සත්තාධිකරණ සමථ’ බලනු."
අධිකරණසමථ,"(පු) නඩු විනිශ්චය; විවාද සංසිඳවීම."
අධිකරණික,"(පු) විනිශ්චයකාරයා, නඩු විසඳන්නා."
අධිකරණික,"(පු) විනිශ්චයකාරයා."
අධිකරණී,"(ඉ) කිණිහිර."
අධිකරණී,"(ඉ) යකඩ වැඩ කරන්නාගේ කිණිහිර."
අධිකවචන,"(න) ව්‍යාකරණ සූත්‍රාදියෙහි දැක්වෙන අසිම්භි, අන්තග්ගහණ ආදිය."
අධිකාර,"(පු) - (න) ධුරය, තනතුර, ව්‍යාකරණයෙහි සවැදෑරුම් සූත්‍රයන් අතුරෙන් එක් සුතුරක් හා අනික් සුතුරක් හෝ පදයක් සම්බන්ධ කිරීම."
අධිකාර,"(පු) අධිකක්‍රියාව, අධ්‍යක්ෂම, කළ මනාකාරකම, අධික කොට කිරීම, පරිත්‍යාගය, ප්‍රාර්ථනාව."
අධිකාර,"(පු) ප්‍රාර්ථනාව; පාලනය."
අධිකාරික,"(පු) අධ්‍යක්ෂයා, ඒ ඒ කටයුත්තෙහි ප්‍රධානයා."
අධිකාරී,"(පු) අධ්‍යක්ෂයා, ඒ ඒ කටයුත්තෙහි ප්‍රධානයා."
අධිකිච්ච,"(ති) (කර+රිච්ච) අරභයා, උදෙසා."
අධිකුට්ටන,"(න) කෙටීම දන්ගෙඩිය මස් ලොඹුව, මස් කපන කොළොම්බුව."
අධිකුසල,"(න) ශ්‍රේෂ්ඨකුශලය සමථවිපස්සනා අධිකුසලතාව."
අධිකොට්ටන,"(න) කෙටීම මස්ලොඹුව, දන්ගෙඩිය."
අධිකොට්ටන,"(න) දංගෙඩිය; මස් තබා කපන කොටය."
අධිකොට්ටිත,"(ති) කෙටූ, කොටනලද මස් කරන ලද."
අධි‍කොධිත,"(ති) ඉතා කුපිත කළ, අධිකලෙස කොප කළ."
අධිගච්ඡති,"(අධි+ගමු+අ) අවබොධකරයි; ලබයි."
අධිගච්ඡති,"(ක්‍රි) (අධි + ගමු - (d) (භු) ගතිම්හි - යාමෙහි (ධාත්වන්තයට ‘ච්ඡ’ ආදේශය + ති) පැමිණෙයි, ලබයි."
අධිගණ්හාති,"(අධි+ගහ+ණ්හ) අධිගෘහිත වෙයි; අයිතිකරගනී."
අධිගණ්හාති,"(ක්‍රි) (අධි + ගහ - (d) (කි) උපාදානෙ ගැනීමෙහි + ණ්හා + ති) පිළිගනියි, අධිගෘහිත වෙයි."
අධිගත,"(න) පැමිණීම - (පු) ආර්‍ය්‍යයා (ති) ලොකොත්තරධර්‍මාධිගමය කළ, පැමිණෙන ලද, ප්‍රතිවේධ කළ."
"අධිගත ","(3) අවබෝධකළ; ලැබූ."
අධිගම,"(පු) අවබෝධය, මාර්‍ගඵලාවබෝධය ඤාණය, පිළිගැනීම."
අධිගම,"(පු) අවබෝධය; ලැබීම."
අධිගමන්තරධාන,"(න) අධිගම නම් වූ සතර මගය සතරපලය සිවු පිළිසිඹියාය ෂඩභිඥාය ත්‍රිවිද්‍යාය යන මොවුන්ගේ අතුරුදන් වීම අධිගමය විනාශ වීම."
අධිගමෙති,"(අධි+ගමු+ණෙ) අවබෝධකරයි."
අධිගමෙති,"(ක්‍රි) (අධි+ගමු - (d) (භු) + ණෙ + ති) ලබවයි පමුණුවයි."
අධිග්ගහ,"(පු) අධිපති වීම, ප්‍රධාන වීම, අධිගෘහීත වීම."
අධිග්ගහිත,"(ති) (අධි + ගහ-ත) අධිගෘහීත වූ, ආවිෂ්ටවූ, අධිපති භාවයට පැමිණි."
"අධිග්ගහිත ","(3) අයිතිකරගත්."
අධිචිච්චසික්ඛා,"(ඉ) අධිචිත්තය පිළිබඳ ඉගැන්වීම, සූත්‍රපිටකය."
අධිචිණ්ණ,"(ති) පුරුදු කළ රැස්කළ."
අධිචිත්ත,"(න) උත්තම චිත්තය, භාවනාසිත, විදර්‍ශනාපාදක අෂ්ට සමාපත්ති සිත, මාර්‍ගඵලසම්ප්‍රයුක්ත සිත."
අධිචිත්ත,"(න) උසස්සිත; සමාධිය."
අධිචෙත,"(න) උසස්සිත, අර්‍හත්ඵල චිත්තය."
අධිච්ච,"(අ) නිසා ඉගෙන."
අධිච්ච,"(පූ.ක්‍රි) ඉගෙන; හදාරා."
අධිච්චකා,"(ඉ) පර්‍වතමුදුන, පර්‍වතශිඛරය."
අධිච්චසමුප්පත්ති,"(ඉ) හේතුආදියක් නොමැතිව නිකරුණේ හටගැනීම, ඉබේම ඉපදීම."
අධිච්චසමුප්පන්න,"(ති) (අධිච්ච + සං + උප්පන්න) නිකරුණේ උපන්, - (පු) හේතුප්‍රත්‍යය රහිතව තමාද ලෝකයද උපන්නේය යන වාදය."
"අධිච්චසමුප්පන්න ","(3) හේතුවක් නැතිව හටගත්."
අධිච්චාපත්තික,"(පු) කලින්කට ඇවතට පැමිණෙන භික්ෂුව, “අධිච්චාපත්තිකොති යො කදාවි කදාව ආපත්තිං ආපජ්ජති.”"
අධිජෙගුච්ඡ,"(ති) ඉතාපිළිකුල්, ඉතාකැත."
අධිට්ඨක,"(පු) ඉටාගන්නා තැනැත්තා."
අධිට්ඨහති,"(අධි+ඨා+අ) අධිෂ්ඨාන කරයි; සිත ස්ථිර ලෙස පිහිටුවයි."
අධිට්ඨහන්ත,"අධිෂ්ඨාන කරන; අධිෂ්ඨාන කරමින්."
අධිට්ඨහිත්වා,"(පූ.ක්‍රි) අධිෂ්ඨාන කොට; ඉටා."
"අධිට්ඨාතබ්බ ","(3) අධිෂ්ඨාන කළයුතු."
අධිට්ඨාති,"(අධි+ඨා+අ) අධිෂ්ඨාන කරයි."
අධිට්ඨාති,"(ක්‍රි) අධි+ ඨා - (d) (භු) ගතිනිවුත්තියං=ගමන්නැවැත්මෙහි+ති) ඉටාගනී."
අධිට්ඨාන,"(න) ඉටාගැන්ම, ස්ථිරව සිතාගැන්ම, ආධාරය, සිටීම."
අධිට්ඨාන,"(න) ස්ථිර නිශ්චය."
අධිට්ඨානාහාර,"(පු) සූත්‍රාගත දුක්ඛ, සමුදය, ජාති, ජරා, කාමතණ්හා, භවතණ්හාදී ධර්‍මයන්ගේ අවිකල්පන සංඛ්‍යාත විශේෂයෙන් විකල්පනය නොකොට දැක්වීම අධිට්ඨානාහාර නමි."
අධිට්ඨාය,"(පූ.ක්‍රි) අධිෂ්ඨාන කොට; ඉටා."
අධිට්ඨායක,"(පු) අධිෂ්ඨාන කරන්නා, අධ්‍යක්ෂයා."
අධිට්ඨායක,"(පු) පාලකයා."
අධිට්ඨිත,"(ති) ඉටාගත්, අධිෂ්ඨාන කළ."
"අධිට්ඨිත ","(3) අධිෂ්ඨාන කළ; නිත්‍යවාසයට පත්."
අධිට්ඨිති,"(ඉ) ඉටීම, අධිෂ්ඨාන කරගැන්ම."
අධිදෙව,"(පු) දෙවාතිදෙවයන්වහන්සේ, දෙවියන්ගේ දෙවියා, බුදුරජ."
අධිප,"(පු) අධිපතියා; ස්වාමියා."
අධිප(ක),"(පු) අධිපති, නායක, ප්‍රධාන වූ, ඉසුරු ඇති."
අධිපජ්ජති,"(ක්‍රි) (අධි = පද - (d) (දි) ගතියං=යාමෙහි+ය (ධාත්වන්තය සහිත ‘ය’ හට ‘ජා’ ආදේශ හා ද්විත්වයි.)=ජ්ජ + - (ති) පැමිණෙයි."
අධිපඤ්ඤා,"(ඉ) උත්තමප්‍රඥාව, තිලකුණුආකාර පිරිසිඳීම ඇති විදර්‍ශනා ප්‍රඥාව, මාර්‍ගඵල සම්ප්‍රයුක්තප්‍රඥාව."
අධිපඤ්ඤා,"(ඉ) උසස් ප්‍රඥාව."
අධිපඤ්ඤාසික්ඛා,"(ඉ) උත්තමප්‍රඥාව පිළිබඳ ශික්ෂාව, අභිධර්‍මපිටකය."
අධිපත,"(පු) හෙලීම, වැටීම."
අධිපතති,"(අධි+පත+අ) අධික සේ වැ‍ටේ; වහා ඉක්මවයි."
අධිපතති,"(ක්‍රි) (අධි + පත - (d) (භු) ගමනෙ=යාමෙහි+ති) හෙයි, වැටෙයි."
අධිපතන,"(න) පහරදීම; මත්තෙහි වැටීම."
අධිපතන,"(න) වැටීම, පහත්වීම, පාතට වැටීම."
අධිපති,"(පු) අධිපති, නායක, ප්‍රධාන වූ, ඉසුරු ඇති."
අධිපති,"(පු) නායකයා; පාලකයා; ස්වාමියා."
අධිපතිකා,"(ඉ) මදුරුවා."
අධිපත්ථිත,"(ති) අධිකව ප්‍රාර්ථනා කළ, නිතර පැතූ."
"අධිපන්ත ","(3) අතුළට වැදුණු; පෙළුණු."
අධිපන්න,"(පු) සම්ප්‍රාප්ත, පැමිණි, යටත් කළ."
අධිපාත,"(පු) කැඩීම, වැටීම, හෙලීම."
අධිපාත,"(පු) විනාශකිරීම; හෙළීම."
අධිපාතක,"(පු) පනින කුඩා සතා; බලුමැක්කා."
අධිපාතිකා,"(ඉ) පනින කුඩා සතා."
අධිපාතෙති,"(අධි+පත+ණෙ) නසයි; බිඳදමයි."
අධිපාතෙති,"(ක්‍රි) (අධි+පත - (d) (භු) ගමනෙ=යාමෙහි+ණෙ+ති) හෙළයි, කඩයි."
අධිප්පාය,"(පු) අදහස."
අධිප්පාය,"(පු) අභිප්‍රාය, අදහස."
අධිප්පායත්ථ,"(පු) ව්‍යාකරණ සූත්‍රයන්හි දැක්වෙන ප්‍රධාන අර්ථය පමණක් නොගෙන වෘත්තිකාරකයන් විසින් අදහස් කරන ලද අර්ථය."
අධි‍ප්පෙත,"(ති) අදහස් කරන ලද."
"අධි‍ප්පෙත ","(3) අදහස් කළ."
අධිබාධෙති,"(ක්‍රි) (අධි+බාධ - (d) (චු) බාධායං=පෙළීමෙහි + ණෙ + ති) බාධා කෙරෙයි, පෙළයි."
අධිබ්‍රහ්ම,"(පු) ප්‍රධානබ්‍රහ්මයා, මහබඹා."
අධිභවති,"(අධි+භු+අ) මැඩපවත්වයි."
අධිභවති,"(ක්‍රි) (අධි + භූ - (d) (භු) සත්තායං=වීමෙහි, උ ඔ=අව+ති) අභිභවනය කරයි, මැඩපවත්වයි, ප්‍රධාන වෙයි."
අධිභවන,"(න) අභිභවනය, මැඩපැවැත්වීම."
අධිභාසති,"(ක්‍රි) (අධි + භාස - (d) (භු) වාචායං=කීමෙහි+ති) කියයි, මනාකොට ප්‍රකාශ කරයි."
අධිභු,"(පු) ඉසුරුඇත්තා, ප්‍රධානයා."
අධිභූත,"(ති) අධිපතිබවට පැමිණි."
"අධිභූත ","(3) මඩිනලද."
අධිභොසි,"(ක්‍රි) (අධි භූ - (d) (භු) සත්තායං=වීමෙහි, ඌ=ඔ+ඊ) අභිභවනය කෙළේය සි-අභිභවනය කෙරෙහි."
අධිමත්ත,"(ති) අධික, බොහෝ, පමණ ඉක්ම ගිය."
"අධිමත්ත ","(3) අධික ප්‍රමාණ ඇති."
අධිමත්තතා,"(ඉ) අධිකබව."
අධිමත්තොහා,"(ඉ) අධික උත්සාහය."
අධිමන,"(න) අධිචිත්තය."
අධිමාන,"(පු) අධික මානය; මාර්ගඵල නො ලබා ලැබුවෙමියි සිතීම."
අධිමාන,"(පු) අධිකමාන්නය, මාර්‍ගඵලයන්ට නොපැමිණ ද විදර්‍ශනොපක්ලේශයන් නිසා රැවටී මාර්‍ගඵලයන්ට පැමිණියෙමියි සිතා ගැනීම."
අධිමානික,"(ති) (අධි+මාන+ඉක) අධිමානය ඇති."
"අධිමානික ","(3) අධිමාන ඇති."
අධිමාස,"(ති) අධිකවූ මාසය, සමහර අවුරුදු වලදී පසළොස්වක් පොහොය දෙකක් වෙති, එසේ වූ විට අධිමාසයයි කියති අධික අවුරුද්ද අවුරුදු 4 කට වරක් එයි අධි එති ගච්ඡතීති අධිකො, අධිකො මාසො අධිමාසො."
අධිමුච්චති,"(අධි+මුච+ය) අමනුශ්‍යයෙක් ආරූඪ වේ; ඇලේ; ස්ථිර ලෙස සිතාගනී."
අධිමුච්චති,"(ක්‍රි) (අධි+මුච - (d) (දි) මොචනෙ=මිදීමෙහි+ති) මිදෙයි නිශ්චය කෙරෙයි."
අධිමුච්චන,"(න) ආවේශ වීම; ස්ථිර ලෙස පිහිටීම."
අධිමුච්චන,"(න) මිදීම, බන්ධනයෙන් මිදීම නිශ්චය කිරීම."
"අධිමුච්චන්ත ","(3) ආවේශ වන; ස්ථිර සේ පිහිටමින්."
අධිමුච්චිත,"නි) නිශ්චය කරන ලද, ඉටනලද."
අධිමුච්චිත්වා,"ආවේශ වී; (පූ.ක්‍රි) ස්ථිර සේ පිහිටා."
අධිමුච්චිය,"ආවේශ වී; (පූ.ක්‍රි) ස්ථිර සේ පිහිටා."
අධිමුච්ඡිත,"(ති) මූර්ච්ඡා වූ, අධිගෘහීත වූ."
"අධිමුච්ඡිත ","(3) ඉතා ඇලුණු; මුසපත්."
අධිමුත්ත,"(ති) මිදුනු, බන්ධනමොචනය කළ නිශ්චය කළ."
"අධිමුත්ත ","(3) අධික ලෙස යෙදුණු හෝ ඇලුණු."
අධිමුත්ති,"(ඉ) අදහස; අධිෂ්ඨානය; ස්වභාවය."
අධිමුත්ති,"(ඉ) ඉගැනීම, ප්‍රාර්ථනාව, අභිප්‍රාය, ඡන්දය, ඊට නැමුනු බව, නිශ්චය."
"අධිමුත්තික ","(3) අධිමුක්ති ඇති."
අධිමුත්තිකකාලකිරියා,"(ඉ) බොධිසත්වවරයන්ට පමණක් සාධාරණ කළුරිය කිරීම මෙයින් හඟවයි බොහෝ ආයු ඇති දෙව් ලොවක උපන් බුදුවන බෝසත්වරයෙකු බොහෝ කලක් දිව සැප විදීම සත්ත්වයන්ට හිත පිණිස වැඩ කිරීමට බාධකයයි කල්පනා කොට එයින් චුතවනු කැමතිව තම දෙව් විමනට පිවිස දිව යහන්හි සැතපී මෙයින් මතු මාගේ මේ දෙව්ලොව ජීවිතය නොපවතීවයි අදිටන් කොට ඇස වසා ගැනීමත් සමගම වන කාලක්‍රියාවට - කළුරිය කිරීමට අධිමුත්තික කාලකිරියා යයි කියනු ලැබේ මේ විශේෂ කාලක්‍රියාව සර්‍වඥ බොධිසත්ත්වයන්ට පමණක්ම සිදුවන හෙයින් අනික් පසේ බුදුවරයන් වහන්සේලාට සාධාරණ නොවන බවත් දේශනාවෙන් පෙණේ මේ නිසා මේ අධිමුත්තික කාලකිරියාව සර්‍වඥ බොධිසත්වවරයන්ට පමණක් සීමිතයි."
අධිමොක්ඛ,"(පු) නිශ්චය අධිකශ්‍රද්ධාව ඉටා ගැන්ම."
අධිමොක්ඛ,"(පු) නිශ්චය; සිතේ ස්ථිරත්වය."
අධිමොක්ඛතා,"(ඉ) අධිමොක්ෂබව."
අධිරොහ,"(පු) ආරොහණය, නැඟීම."
අධිරොහිණි,"(ඉ) හිණ, ඉණිමග."
අධිවචන,"(න) නාමය, ප්‍රඥප්තිය, නාමාන්තරය, සංඥාව."
අධිවචන,"(න) නාමය; සඤ්ඤාව."
අධිවචනපථ,"(පු) අර්ථය නොසලකා ආරූඪ වශයෙන් කරන නාම ව්‍යවහාරය."
"අධිවත්ත ","(3) අධිගෘහිත; විසූ."
අධිවත්තති,"(අධි+වතු+අ) මැඩපවත්වයි."
අධිවත්තති,"(ක්‍රි) (අධි+වතු+ති) පවතී නික්මෙයි."
අධිවත්තන,"(න) ඉවසීම."
අධිවත්ථ,"(ති) අධිපතිව විසූ."
අධිවර,"(ති) ඉතාහොඳ, අත්‍යූත්තම."
